form	lemma	POS	morph
དགོས་	དགོས་	VERB
ར་	ལ་	PART
དུང་	དུང་	NOUN
༑		PUNCT
གཡོན་པ་	གཡོན་པ་	ADJ
ར་	ལ་	PART
དྲིལ་བུ་	དྲིལ་བུ་	NOUN
།		PUNCT
ལག་པ་	ལག་པ་	NOUN
གཉིས་	གཉིས་	NUM
ཀྱི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
པུ་སྟི་	པུ་སྟི་	NO_POS
བྱིན་	བྱིན་	VERB
ལ་	ལ་	ADP
།		PUNCT
གཞུང་	གཞུང་	NOUN
ན་	ནས་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
ཚིགས་བཅད་	ཚིགས་བཅད་	NOUN
གཉིས་	གཉིས་	NUM
དང་	དང་	NO_POS
།		PUNCT
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཀུན་	ཀུན་	DET
ལ་	ལ་	ADP
ཐམས་ཅད་	ཐམས་ཅད་	DET
དུ་	ལ་	PART
། །		PUNCT
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
རིགས་	རིགས་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
གནང་བ་	གནང་བ་	NO_POS
མཛད་	མཛད་	VERB
དོ་	གོ་	PART
། །		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
གནང་བ་	གནང་བ་	NO_POS
ནི་	ནི་	NO_POS
།		PUNCT
ཞི་	ཞི་	VERB
དང་	དང་	NO_POS
རྒྱ་	རྒྱ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
སྟེ་	སྟེ་	PART
། །		PUNCT
ཚིགས་བཅད་	ཚིགས་བཅད་	NOUN
གཅིག་	གཅིག་	NUM
གིས་	གིས་	PART
ཞི་	ཞི་	VERB
སོགས་	སོགས་	DET
བྱ་བ་	བྱ་བ་	VERB
དམན་པ་	དམན་པ་	VERB
འི་	གི་	PART
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
གནང་བ་	གནང་བ་	NO_POS
ཡིན་	ཡིན་	NO_POS
ལ་	ལ་	ADP
༑		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
རལ་གྲི་	རལ་གྲི་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ཚིགས་	ཚིགས་	NOUN
སུ་	སུ་	ADP
བཅད་པ་	བཅད་པ་	VERB
གཅིག་	གཅིག་	NUM
གིས་	གིས་	PART
ནི་	ནི་	NO_POS
གྲུབ་ཆེན་	གྲུབ་ཆེན་	NOUN
བརྒྱད་	བརྒྱད་	NUM
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
རྗེས་གནང་	རྗེས་གནང་	NOUN
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
གྲུབ་པ་	གྲུབ་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
བརྒྱད་	བརྒྱད་	NUM
ནི་	ནི་	NO_POS
གཞུང་	གཞུང་	NOUN
འདི་	འདི་	DET
ན་	ན་	ADP
ལྔ་	ལྔ་	NUM
ལ་	ལ་	ADP
ས་	གིས་	PART
མེད་	མེད་	VERB
ཀྱང་	ཀྱང་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
རི་ལུ་	རི་ལུ་	NO_POS
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
མིག་སྨན་	མིག་སྨན་	OTHER
དང་	དང་	NO_POS
། །		PUNCT
རྐང་པ་	རྐང་པ་	NOUN
བྱུག་	བྱུག་	VERB
དང་	དང་	NO_POS
རལ་གྲི་	རལ་གྲི་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
གཏེར་	གཏེར་	NOUN
དང་	དང་	NO_POS
དགྲ་	དགྲ་	NOUN
རྣམས་	རྣམས་	DET
བརླག་པ་	བརླག་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
གནོད་སྦྱིན་	གནོད་སྦྱིན་	NOUN
མོ་	མོ་	PRON
དང་	དང་	NO_POS
བཅུད་	བཅུད་	NOUN
ཀྱིས་	གིས་	PART
ལེན་	ལེན་	VERB
། །		PUNCT
ཞེ་	ཅེས་	PART
བརྒྱད་	བརྒྱད་	NUM
གསུངས་	གསུངས་	VERB
ལ་	ལ་	ADP
།		PUNCT
གཞན་	གཞན་	DET
ཡང་	ཀྱང་	PART
ཨ་	ཨ་	X
བྷི་		NON_WORD
དྷ་		NON_WORD
ན་	ན་	ADP
ལ་	ལ་	ADP
ས་	གིས་	PART
༑		PUNCT
ས་འོག་	ས་འོག་	OTHER
འགྲོ་བ་	འགྲོ་བ་	VERB
འམ་	གམ་	PART
རལ་གྲི་	རལ་གྲི་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
ཚར་གཅོད་	ཚར་གཅོད་	NOUN
ཕན་	ཕན་	NOUN
འདོགས་	འདོགས་	VERB
ཉིད་	ཉིད་	DET
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
༑ ༑		PUNCT
རི་ལུ་	རི་ལུ་	NO_POS
མིག་སྨན་	མིག་སྨན་	OTHER
གཏེར་	གཏེར་	NOUN
རྣམས་	རྣམས་	DET
སམ་	གམ་	PART
། །		PUNCT
རྐང་	རྐང་	NOUN
མགྱོགས་	མགྱོགས་	VERB
དག་	དག་	DET
གམ་	གམ་	PART
བཅུད་	བཅུད་	NOUN
ཀྱིས་	གིས་	PART
ལེན་	ལེན་	VERB
༑ ༑		PUNCT
ཞེ་	ཅེས་	PART
བརྒྱད་	བརྒྱད་	NUM
		
ཞ་	ཞ་	OTHER
		
བརྒྱད་	བརྒྱད་	NUM
		
ལེའུ་	ལེའུ་	NOUN
ཉི་ཤུ་པ་	ཉི་ཤུ་པ་	NUM
ན་	ནས་	PART
གསུངས་	གསུངས་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
གཉིས་ཀ་	གཉིས་ཀ་	OTHER
འང་	ཀྱང་	PART
རོ་ལངས་	རོ་ལངས་	OTHER
བསྒྲུབ་པ་	བསྒྲུབ་པ་	VERB
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
ན་	ནས་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
རྗེས་གནང་	རྗེས་གནང་	NOUN
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
གཞུང་	གཞུང་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
ནི་	ནི་	NO_POS
རྟོགས་པ་	རྟོགས་པ་	VERB
ར་	ལ་	PART
སླ་	སླ་	VERB
འོ་	གོ་	PART
། །		PUNCT
རྗེས་སུ་	རྗེས་སུ་	OTHER
གནང་བ་	གནང་བ་	NO_POS
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
དབང་	དབང་	NOUN
བརྒྱད་པ་	བརྒྱད་པ་	NUM
འམ་	གམ་	PART
འོག་	འོག་	NOUN
གི་	གི་	PART
དགུ་པ་	དགུ་པ་	ADJ
དང་	དང་	NO_POS
ཐུན་མོང་	ཐུན་མོང་	ADJ
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
དམ་ཚིག་	དམ་ཚིག་	NOUN
ལ་	ལ་	ADP
གཉིས་	གཉིས་	NUM
།		PUNCT
		
ཞ་	ཞ་	OTHER
		
ལུ་	ལུ་	NO_POS
		
དམ་ཚིག་	དམ་ཚིག་	NOUN
དང་	དང་	NO_POS
སྡོམ་པ་	སྡོམ་པ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
		
བསྲུང་བ་	བསྲུང་བ་	VERB
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
བཀའ་	བཀའ་	NOUN
		
ཞ་	ཞ་	OTHER
		
ལུ་	ལུ་	NO_POS
		
བཀ་	བཀའ་	NOUN
ས་	གིས་	PART
		
གནང་བ་	གནང་བ་	NO_POS
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	ADP
གསུམ་	གསུམ་	NUM
སྟེ་	སྟེ་	PART
།		PUNCT
ནངས་པ་	ནངས་པ་	ADV
ར་	ལ་	PART
སྔ་	སྔ་	NOUN
ལངས་	ལངས་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ཚིགས་	ཚིགས་	NOUN
སུ་	སུ་	ADP
བཅད་པ་	བཅད་པ་	VERB
བདུན་	བདུན་	NUM
གྱིས་	གིས་	PART
ནི་	ནི་	NO_POS
བདག་	བདག་	PRON
གི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
དང་	དང་	NO_POS
བཟའ་	བཟའ་	NOUN
བསྲུང་	བསྲུང་	NO_POS
གི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
ཐུན་མོང་	ཐུན་མོང་	ADJ
གི་	གི་	PART
ཉི་ཤུ་རྩ་གཉིས་	ཉི་ཤུ་རྩ་གཉིས་	NO_POS
བསྲུང་བ་	བསྲུང་བ་	VERB
བསྟན་	བསྟན་	VERB
ཏོ་	གོ་	PART
། །		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
ཁྱད་པར་བ་	ཁྱད་པར་བ་	NOUN
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
ནི་	ནི་	NO_POS
༑		PUNCT
བུད་མེད་	བུད་མེད་	NOUN
		
ཞ་	ཞ་	OTHER
		
ཐམས་ཅད་	ཐམས་ཅད་	DET
		
མཐོང་བ་	མཐོང་བ་	VERB
ན་	ན་	ADP
ཞེས་་	ཞེས་པ་	PART
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
སྟེ་	སྟེ་	PART
།		PUNCT
བུད་མེད་	བུད་མེད་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
རྟགས་	རྟགས་	NOUN
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཏུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
ཡིན་པ་	ཡིན་པ་	AUX
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
དང་	དང་	NO_POS
།		PUNCT
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
སྩོལ་བ་	སྩོལ་བ་	VERB
འི་	གི་	PART
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
མ་	མ་	PART
གང་	གང་	NO_POS
ན་	ན་	ADP
ཡོད་	ཡོད་	VERB
ཆ་མེད་པ་	ཆ་མེད་པ་	ADJ
ས་	གིས་	PART
བུད་མེད་	བུད་མེད་	NOUN
གང་	གང་	NO_POS
མཐོང་བ་	མཐོང་བ་	VERB
ལ་	ལ་	ADP
ཡིད་	ཡིད་	NOUN
ཀྱིས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
དང་	དང་	NO_POS
བསྐོར་བ་	བསྐོར་བ་	VERB
བྱ་	བྱ་	VERB
ལ་	ལ་	ADP
།		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
གདབ་པ་	གདབ་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
བདག་	བདག་	PRON
གི་	གི་	PART
མ་	མ་	PART
ཁྱོད་	ཁྱོད་	PRON
ཅེས་པ་	ཅེས་པ་	PART
ཚིགས་	ཚིགས་	NOUN
སུ་	སུ་	ADP
བཅད་པ་	བཅད་པ་	VERB
གཅིག་	གཅིག་	NUM
གིས་	གིས་	PART
བདག་	བདག་	PRON
གི་	གི་	PART
མ་	མ་	PART
ནི་	ནི་	NO_POS
ཁྱོད་	ཁྱོད་	PRON
ཡིན་	ཡིན་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱྀ་		NON_WORD
བུ་	བུ་	NOUN
ནི་	ནི་	NO_POS
བདག་	བདག་	PRON
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
དེས་ན་	དེས་ན་	NO_POS
ཇི་སྲིད་	ཇི་སྲིད་	PRON
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
མ་	མ་	PART
ཐོབ་	ཐོབ་	VERB
ཀྱི་	གི་	PART
བ་	བ་	NOUN
དུ་	ལ་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
ཀྱི་	གི་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
བྱུང་བ་	བྱུང་བ་	VERB
འི་	གི་	PART
ནུ་མ་	ནུ་མ་	NOUN
ནི་	ནི་	NO_POS
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ཏེ་	སྟེ་	PART
།		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
འོ་མ་	འོ་མ་	NOUN
ས་	གིས་	PART
སྐྱོངས་	སྐྱོངས་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ནི་	ནི་	NO_POS
བདེ་སྟོང་	བདེ་སྟོང་	NOUN
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
ར་	ལ་	PART
གྱིས་	གིས་	PART
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
དོན་	དོན་	NOUN
ཏོ་	གོ་	PART
༑ ༑		PUNCT
དེ་	དེ་	DET
མཚོན་	མཚོན་	NOUN
ན་	ནས་	PART
ཐུན་མོང་	ཐུན་མོང་	ADJ
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
བརྒྱད་	བརྒྱད་	NUM
ཀ་	ཀ་	DET
འི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
གནང་	གནང་	NO_POS
བ་	བ་	NOUN
བསྟན་	བསྟན་	VERB
ཏོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
ཚིགས་	ཚིགས་	NOUN
སུ་	སུ་	ADP
བཅད་པ་	བཅད་པ་	VERB
གཉིས་	གཉིས་	NUM
ཀྱིས་	གིས་	PART
རིམ་པ་	རིམ་པ་	NOUN
གཉིས་	གཉིས་	NUM
བསྒོམས་	བསྒོམས་	VERB
ན་	ནས་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
གདམས་པ་	གདམས་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་ཡན་	དེ་ཡན་	NO_POS
ཆད་	ཆད་	VERB
ནི་	ནི་	NO_POS
བླ་མ་	བླ་མ་	NOUN
ས་	གིས་	PART
ལན་	ལན་	NOUN
གཅིག་	གཅིག་	NUM
བརྗོད་	བརྗོད་	VERB
༑ ༑		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
དོན་	དོན་	NOUN
ཅུང་ཟད་	ཅུང་ཟད་	ADV
བཤད་པ་	བཤད་པ་	VERB
ཉིད་	ཉིད་	DET
ཀྱིས་	གིས་	PART
སྡོམ་པ་	སྡོམ་པ་	NOUN
ཐོབ་པ་	ཐོབ་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
། །		PUNCT
ཚིག་	ཚིག་	NOUN
གི་	གི་	PART
དོན་	དོན་	NOUN
ནི་	ནི་	NO_POS
རྟོགས་པ་	རྟོགས་པ་	VERB
ར་	ལ་	PART
སླ་	སླ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
གསུམ་པ་	གསུམ་པ་	NUM
སྡོམ་པ་	སྡོམ་པ་	NOUN
བསྡུ་	བསྡུ་	VERB
ཏེ་	སྟེ་	PART
གཟུང་བ་	གཟུང་བ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
གཙོ་བོ་	གཙོ་བོ་	ADJ
ས་	གིས་	PART
ཇི་ལྟ་		
བཀའ་	བཀའ་	NOUN
སྩལ་པ་	སྩལ་པ་	VERB
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
བདག་	བདག་	PRON
ནི་	ནི་	NO_POS
བགྱིད་པ་	བགྱིད་པ་	VERB
ར་	ལ་	PART
འཚལ་	འཚལ་	VERB
། །		PUNCT
ཞེ་	ཅེས་	PART
རྐང་པ་	རྐང་པ་	NOUN
གཉིས་	གཉིས་	NUM
གཉིས་	གཉིས་	NUM
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
བཟླས་	བཟླས་	NO_POS
ལ་	ལ་	ADP
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
ཡོན་	ཡོན་	NOUN
དབུལ་བ་	དབུལ་བ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
ཡང་	ཀྱང་	PART
མཛད་	མཛད་	VERB
དོ་	གོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བརྗོད་བྱ་	བརྗོད་བྱ་	NOUN
ཐ་མལ་	ཐ་མལ་	ADJ
ལ་	ལ་	ADP
ས་	གིས་	PART
མིང་	མིང་	NOUN
བཏགས་	བཏགས་	VERB
ན་	ནས་	PART
བསྲུང་བ་	བསྲུང་བ་	VERB
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
བཀ་	བཀའ་	NOUN
འི་	གི་	PART
གནང་བ་	གནང་བ་	NO_POS
ནི་	ནི་	NO_POS
།		PUNCT
ཕལ་ཆེ་		
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
རྗེས་གནང་	རྗེས་གནང་	NOUN
ཡིན་མོད་	ཡིན་མོད་	NO_POS
ཀྱི་	གི་	PART
།		PUNCT
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
ཕྱེ་	ཕྱེ་	VERB
ན་	ན་	ADP
གསུམ་	གསུམ་	NUM
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
སྤྱོད་པ་	སྤྱོད་པ་	VERB
དངོ་	དངོ་	NOUN
ཀྱི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
གནང་བ་	གནང་བ་	NO_POS
ནི་	ནི་	NO_POS
།		PUNCT
སློབ་མ་	སློབ་མ་	NOUN
འི་	གི་	PART
ལག་ནས་	ལག་ནས་	NO_POS
བཟུང་	བཟུང་	NO_POS
ན་	ནས་	PART
གཉིས་	གཉིས་	NUM
མེད་	མེད་	VERB
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
ཤློ་		NON_WORD
ཀ་	ཀ་	DET
གཅིག་	གཅིག་	NUM
གོ་	གོ་	VERB
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
སྤྱོད་པ་	སྤྱོད་པ་	VERB
དང་	དང་	NO_POS
ཐུན་མོང་	ཐུན་མོང་	ADJ
གི་	གི་	PART
རྗེས་སུ་	རྗེས་སུ་	OTHER
གནང་བ་	གནང་བ་	NO_POS
ནི་	ནི་	NO_POS
།		PUNCT
གཉིས་	གཉིས་	NUM
མེད་	མེད་	VERB
ལ་	ལ་	ADP
གནས་	གནས་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
སྟེ་	སྟེ་	PART
།		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
གཉིས་	གཉིས་	NUM
མེད་	མེད་	VERB
ལ་	ལ་	ADP
གནས་པ་	གནས་པ་	VERB
ནི་	ནི་	NO_POS
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
།		PUNCT
ཟ་	ཟ་	NOUN
ནི་	ནི་	NO_POS
ཁ་ཟས་	ཁ་ཟས་	NOUN
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
བརླབ་པ་	བརླབ་པ་	VERB
།		PUNCT
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
བརྡ་	བརྡ་	NOUN
ནི་	ནི་	NO_POS
ལག་པ་	ལག་པ་	NOUN
འི་	གི་	PART
སོར་མོ་	སོར་མོ་	NOUN
དང་	དང་	NO_POS
མཐིལ་	མཐིལ་	NOUN
ལ་	ལ་	ADP
གོ་ཆ་	གོ་ཆ་	NOUN
འི་	གི་	PART
དཔའ་བོ་	དཔའ་བོ་	NOUN
དང་	དང་	NO_POS
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
བཅུ་གཉིས་	བཅུ་གཉིས་	NO_POS
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
གཉིས་	གཉིས་	NUM
སུ་	སུ་	ADP
མེད་པ་	མེད་པ་	VERB
ནི་	ནི་	NO_POS
དེ་	དེ་	DET
རྣམས་	རྣམས་	DET
ཡབ་	ཡབ་	NOUN
		
ཞ་	ཞ་	OTHER
		
ཡབ་	ཡབ་	NOUN
		
ཡུམ་	ཡུམ་	NOUN
གྱི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ཐོགས་པ་	ཐོགས་པ་	VERB
མེད་པ་	མེད་པ་	VERB
ནི་	ནི་	NO_POS
དེ་	དེ་	DET
རྣམས་	རྣམས་	DET
མཆོད་པ་	མཆོད་པ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དམ་ཚིག་	དམ་ཚིག་	NOUN
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ནི་	ནི་	NO_POS
བཟའ་བ་	བཟའ་བ་	VERB
འི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
གོ་	གོ་	VERB
།		PUNCT
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ནི་	ནི་	NO_POS
བདག་	བདག་	PRON
ཧེ་རུ་ཀ་	ཧེ་རུ་ཀ་	NOUN
ར་	ལ་	PART
བྱས་པ་	བྱས་པ་	VERB
འི་	གི་	PART
ལུས་	ལུས་	NOUN
ཀྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གསལ་བ་	གསལ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
ལེགས་སྤྱད་	ལེགས་སྤྱད་	NO_POS
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
བདག་	བདག་	PRON
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
བསམ་པ་	བསམ་པ་	VERB
ས་	གིས་	PART
ཁ་ཟས་	ཁ་ཟས་	NOUN
བཟའ་བ་	བཟའ་བ་	VERB
འོ་	གོ་	PART
། །		PUNCT
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
སྤྱོད་པ་	སྤྱོད་པ་	VERB
དང་	དང་	NO_POS
ཐུན་མོང་	ཐུན་མོང་	ADJ
ངོ་	ངོ་	PART
༑ ༑		PUNCT
ཚངས་པ་	ཚངས་པ་	PROPN
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ནི་	ནི་	NO_POS
བསྐྱེད་རྫོགས་	བསྐྱེད་རྫོགས་	NOUN
ཀྱི་	གི་	PART
ཏིང་ངེ་འཛིན་	ཏིང་ངེ་འཛིན་	NOUN
ལ་	ལ་	ADP
གནས་པ་	གནས་པ་	VERB
ས་	གིས་	PART
བླང་	བླང་	NO_POS
		
དོར་	དོར་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འོ་	གོ་	PART
		
ཞ་	ཞ་	OTHER
		
དོར་	དོར་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འོ་	གོ་	PART
		
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
ནོ་	གོ་	PART
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ནི་ལ་	ནི་ལ་	NO_POS
ས་	གིས་	PART
དང་པོ་པ་	དང་པོ་པ་	ADJ
འི་	གི་	PART
དུས་	དུས་	NOUN
སུ་	སུ་	ADP
ཡང་	ཀྱང་	PART
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
"།

།"		PUNCT
ཕྱི་རོལ་	ཕྱི་རོལ་	NOUN
གྱི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
མཆོད་པ་	མཆོད་པ་	VERB
ནི་	ནི་	NO_POS
ཡུལ་	ཡུལ་	NOUN
ཀུན་	ཀུན་	DET
ལ་	ལ་	ADP
ནི་	ནི་	NO_POS
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
སྟེ་	སྟེ་	PART
།		PUNCT
ཡུལ་	ཡུལ་	NOUN
ལམ་	གམ་	PART
གྲོང་སྟོང་	གྲོང་སྟོང་	NO_POS
ཕྲག་	ཕྲག་	NUM
ལྔ་	ལྔ་	NUM
ལྔ་	ལྔ་	NUM
ན་	ན་	ADP
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
རེ་རེ་	རེ་རེ་	DET
གནས་	གནས་	NOUN
སོ་	སོ་	PART
ཞེ་	ཅེས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
ས་	གིས་	PART
༑		PUNCT
དེ་	དེ་	DET
ཚེས་བཅུ་	ཚེས་བཅུ་	OTHER
